ant-ivy,,,,archiva,,,,calcite,,
Releases,Odds ratios (manually validated data),Odds ratios (szz generated data),,Releases,Odds ratios (manually validated data),Odds ratios (szz generated data),,Releases,Odds ratios (manually validated data),Odds ratios (szz generated data)
1.4.1,3.52*,13.1,,1,3.99*,14.87,,1.0.0,3.17,1.05*
2.0.0,9.25,8.83,,1.1,11.66,nan,,1.1.0,4.38,3.8
2.1.0,11.31,17.11,,1.2,7.48,nan,,1.2.0,4.84,3.45
2.2.0,10.74,7.78,,1.3,5.32,3.7,,1.3.0,4.02,4.12
2.3.0,6.6,13.88,,2.0.0,nan,nan,,1.4.0,3.09,3.78
2.4.0,15.5,7.68,,2.1.0,nan,4.49,,1.5.0,3.93,3.94
,,,,2.2.0,nan,6.02,,1.6.0,3.74,3.37
,,,,,,,,1.7.0,4.22,2.12
,,,,,,,,1.8.0,6.2,3.12
,,,,,,,,1.9.0,5.57,3.18
,,,,,,,,1.10.0,5.92,4.4
,,,,,,,,1.11.0,6.18,2.36
,,,,,,,,1.12.0,7.02,2.14
,,,,,,,,1.13.0,7.45,3.56
,,,,,,,,1.14.0,7.43,5.18
,,,,,,,,1.15.0,7.85,3.63
,,,,,,,,,,
,,,,,,,,,,
cayenne,,,,commons-beanutils,,,,commons-codec,,
Releases,Odds ratios (manually validated data),Odds ratios (szz generated data),,Releases,Odds ratios (manually validated data),Odds ratios (szz generated data),,Releases,Odds ratios (manually validated data),Odds ratios (szz generated data)
3.0.0,15.06,4.76,,1.7.0,6.2,nan,,1.2,nan,nan
3.1.0,13.51,4.46,,1.8.0,10.13,0.7*,,1.3,5.0*,nan
,,,,1.9.0,nan,4.32*,,1.5,nan,0.66*
,,,,,,,,1.6,2.31*,nan
,,,,,,,,1.7,3.78*,3.32*
,,,,,,,,1.8,4.67*,2.95*
,,,,,,,,1.9,3.88*,3.88*
,,,,,,,,1.1,0.86*,2.95*
,,,,,,,,,,
,,,,,,,,,,
commons-collections,,,,commons-compress,,,,commons-configuration,,
Releases,Odds ratios (manually validated data),Odds ratios (szz generated data),,Releases,Odds ratios (manually validated data),Odds ratios (szz generated data),,Releases,Odds ratios (manually validated data),Odds ratios (szz generated data)
1,nan,nan,,1,8.25,2.28*,,1,1.88*,nan
2,nan,nan,,1.1,17.52,5.5*,,1.1,nan,nan
2.1,nan,nan,,1.2,10.75,7.17,,1.2,5.96,nan
3,7.75,nan,,1.3,7.76,6.85,,1.3,3.1,2.76*
3.1,7.64,nan,,1.4,10.83,11,,1.4,6.78,0.79*
3.2,11.65,nan,,1.5,8.89,4.88,,1.5,15.17,5.77
3.3,22.99,nan,,1.6,17.06,7.24,,1.6,nan,5.44
4,39,17.63,,1.7,17.4,6.59,,1.7,8.03,6.7
4.1,nan,13.58,,1.8,9.25,4.29,,1.8,4.52,3.0*
,,,,1.9,22.38,9.2,,1.9,4.52,5.86
,,,,1.1,10.11,8.63,,1.1,3.97*,5
,,,,1.11,36,7.95,,2.2,3.17*,2.36*
,,,,1.12,22.91,nan,,,,
,,,,1.13,9.75,10.13,,,,
,,,,1.14,nan,nan,,,,
,,,,1.15,nan,13.63,,,,
,,,,1.16,nan,6,,,,
,,,,,,,,,,
,,,,,,,,,,
commons-dbcp,,,,commons-digester,,,,commons-io,,
Releases,Odds ratios (manually validated data),Odds ratios (szz generated data),,Releases,Odds ratios (manually validated data),Odds ratios (szz generated data),,Releases,Odds ratios (manually validated data),Odds ratios (szz generated data)
1,0.0*,nan,,1.4,0.0*,nan,,1,42,nan
1.1,0.73*,nan,,1.5,1.92*,nan,,1.1,20,nan
1.2,0.71*,nan,,1.6,nan,nan,,1.2,55,nan
1.3,3.5*,1.12*,,1.7,nan,nan,,1.3,5.29,nan
1.4,3.15*,1.01*,,1.8,nan,nan,,1.4,3.47*,7.64
2,4.58*,7.08,,3,0.22*,nan,,2,15.4,nan
2.1,5.89*,9.62,,3.1,0.22*,nan,,2.1,24.38,13
2.2.0,2.06*,21.25,,3.2,0.34*,nan,,2.2,31.71,10.29
2.3.0,2.12*,11.14,,,,,,2.3,32.12,3.75*
2.4.0,nan,26.18,,,,,,2.4,32.12,7.72
2.5.0,nan,9.28,,,,,,2.5,12.14,3.71
,,,,,,,,,,
,,,,,,,,,,
commons-jcs,,,,commons-jexl,,,,commons-lang,,
Releases,Odds ratios (manually validated data),Odds ratios (szz generated data),,Releases,Odds ratios (manually validated data),Odds ratios (szz generated data),,Releases,Odds ratios (manually validated data),Odds ratios (szz generated data)
1,nan,nan,,2,nan,nan,,2,1.41*,nan
1.1,nan,nan,,2.1,0.46*,5.88*,,2.1,4.98*,nan
1.3,15.79,2.89,,,,,,2.2,6.82,nan
2,27.02,5.35,,,,,,2.3,6.38,nan
2.1,24.33,6.62,,,,,,2.4,14.63,nan
2.2,nan,5.32,,,,,,2.5,nan,nan
,,,,,,,,2.6,nan,0.65*
,,,,,,,,3,4.78,3.75
,,,,,,,,3.1,3.38,2.35*
,,,,,,,,3.2,7.47,4.39
,,,,,,,,3.3,33.94,4.75
,,,,,,,,3.4,5.67,6.7
,,,,,,,,3.5,5.59,3.34
,,,,,,,,3.6,7.9,4.89
,,,,,,,,,,
,,,,,,,,,,
commons-math,,,,commons-net,,,,commons-scxml,,
Releases,Odds ratios (manually validated data),Odds ratios (szz generated data),,Releases,Odds ratios (manually validated data),Odds ratios (szz generated data),,Releases,Odds ratios (manually validated data),Odds ratios (szz generated data)
1,18.81,nan,,1.0.0,4.38*,nan,,0.5,6.33,nan
1.1,10.85,nan,,1.1.0,3.84*,nan,,0.6,11.58,nan
1.2,10.89,1.07*,,1.2.0,3.66,nan,,0.7,14.3,10
2,2.53,nan,,1.3.0,4.53,nan,,0.8,14.3,10
2.1,6.3,nan,,1.4.0,4.43,nan,,0.9,6.21*,19.57
2.2,8.55,11.11,,2,6.83,2.28*,,,,
3,4.9,nan,,2.1,5.68,4.79*,,,,
3.1,6.32,6.25,,2.2,10.41,6.07,,,,
3.2,7.06,2.8*,,3,5.3,5.44,,,,
3.3,7.36,3.6,,3.1,6.28,5.42,,,,
3.4,7.05,2.28,,3.2,5.03,5.22,,,,
3.5,4.66*,3.83,,3.3,3.83,6.63,,,,
,,,,3.4,6.59,5.61,,,,
,,,,3.5,6.59,5.61,,,,
,,,,3.6,3.46*,7.17,,,,
,,,,,,,,,,
,,,,,,,,,,
commons-validator,,,,commons-vfs,,,,deltaskipe,,
Releases,Odds ratios (manually validated data),Odds ratios (szz generated data),,Releases,Odds ratios (manually validated data),Odds ratios (szz generated data),,Releases,Odds ratios (manually validated data),Odds ratios (szz generated data)
1.1.0,2.44*,nan,,1,7.2,5.06*,,0.1,nan,nan
1.2.0,5.0*,nan,,2,5.88,nan,,0.2,3.59,nan
1.3.0,17.25,nan,,2.1,nan,4.12,,0.3,5.45,1.88*
1.4.0,1.16*,nan,,2.2,nan,nan,,0.4,4.08,3.52
1.5.0,nan,2.23*,,,,,,0.5,4.36,12.77
1.6.0,nan,2.5*,,,,,,0.6,10.11,5.06
,,,,,,,,0.7,9.97,6.77
,,,,,,,,1.0.0,9.39,5.91
,,,,,,,,1.1.0,8.26,2.38*
,,,,,,,,1.2.0,7.33,5.24
,,,,,,,,1.3.0,7.97,2.37*
,,,,,,,,1.4.0,7.2,6.21
,,,,,,,,1.5.0,13.18,4.68
,,,,,,,,1.6.0,10.77,6.72
,,,,,,,,1.7.0,8.98,7.82
,,,,,,,,1.8.0,nan,nan
,,,,,,,,,,
,,,,,,,,,,
eagle,,,,giraph,,,,gora,,
Releases,Odds ratios (manually validated data),Odds ratios (szz generated data),,Releases,Odds ratios (manually validated data),Odds ratios (szz generated data),,Releases,Odds ratios (manually validated data),Odds ratios (szz generated data)
0.3.0,8.07,nan,,1.0.0,9.62,1.47*,,0.1,2.36*,nan
0.4.0,nan,3.51,,1.1.0,2.42*,5.73,,0.2,3.15*,3.08*
,,,,,,,,0.3,8.39,5.71
,,,,,,,,0.4,10.71,4.73
,,,,,,,,0.5,4.13,2.46*
,,,,,,,,0.6,2.22*,9.14
,,,,,,,,,,
,,,,,,,,,,
jspwiki,,,,knox,,,,lens,,
Releases,Odds ratios (manually validated data),Odds ratios (szz generated data),,Releases,Odds ratios (manually validated data),Odds ratios (szz generated data),,Releases,Odds ratios (manually validated data),Odds ratios (szz generated data)
1.4.0,nan,nan,,0.3.0,4.09,1.76*,,2.6.0,4.61,4.88
1.5.0,nan,nan,,0.4.0,9.14,2.49*,,2.7.0,6.66*,5.02
1.6.0,nan,nan,,0.5.0,6.39,nan,,,,
1.7.0,nan,nan,,0.6.0,6.54,4.55,,,,
1.8.0,nan,nan,,0.7.0,4.22,2.72,,,,
2.0.36,nan,nan,,0.8.0,4.42,3.01,,,,
2.2.19,nan,nan,,0.9.0,6.31,5.77,,,,
2.4.56,9.03,nan,,0.10.0,5.94,6.69,,,,
2.6.0,17.45,1.0*,,0.11.0,3.42,8.92,,,,
2.8.0,2.93*,2.45*,,0.12.0,2.91,5.17,,,,
2.9.0,nan,nan,,0.13.0,4.83,5.05,,,,
2.10.0,2.17*,nan,,0.14.0,4.01*,nan,,,,
,,,,1.0.0,6.47,nan,,,,
,,,,,,,,,,
,,,,,,,,,,
mahout,,,,manifoldcf,,,,nutch,,
Releases,Odds ratios (manually validated data),Odds ratios (szz generated data),,Releases,Odds ratios (manually validated data),Odds ratios (szz generated data),,Releases,Odds ratios (manually validated data),Odds ratios (szz generated data)
0.1,11.13,nan,,0.1,10.52,nan,,0.7,2.71*,nan
0.2,6.53,2.67*,,0.2,5.33,2.65*,,0.8,3.33,1.66*
0.3,3.26,0.83*,,0.3,8.18,nan,,0.9,2.66,5.43
0.4,4.46,2.52,,0.4,8.53,8.85,,1,2.0*,2.55
0.5,4.98,3.85,,0.5,9.91,7.15,,1.1,2.63,2.81
0.6,11.64,3.1,,0.6,1.74,11.41,,1.2,3.14,2.91
0.7,4.37,3.28,,1,1.32*,14.47,,1.3,3.44,0.52*
0.8,2.38,nan,,1.1,1.24*,10.88,,1.4,2.94,3.75
0.9,1.89*,5.04*,,1.2,1.31*,11.45,,1.5,2.74,3.34
0.10.0,2.03*,4.29,,1.3,1.41*,nan,,1.6,2.59,2.78
0.11.0,1.64*,3.12,,1.4,5,4.92,,1.7,3.04,2.5*
0.12.0,nan,3.47,,1.5,50.68,4.24,,1.8,12.78,nan
,,,,1.6,16.08,4.6,,1.9,4.29*,3.24
,,,,1.7,10.93,5.36,,1.1,2.41*,3.29
,,,,1.8,12.4,6.8,,1.11,8.16,4.31
,,,,1.9,10.58,6.68,,1.12,12.61,nan
,,,,1.1,28.79,3.1*,,1.13,18.64,7.24*
,,,,2,13.15,6.76,,1.14,nan,4.2
,,,,2.1,12.71,6.62,,2,2.48,2.65
,,,,2.2,52.86,2.94,,2.1,2.68*,1.48*
,,,,2.3,19.1,3.77,,2.2,2.37,1.26*
,,,,2.4,51.78,5.34,,2.3,13.36,3.1
,,,,2.5,44.69,4.11,,,,
,,,,2.6,41.14,4.21,,,,
,,,,2.7,22.39,6.71,,,,
,,,,2.8,36.98,4.92,,,,
,,,,2.9,nan,4.54,,,,
,,,,2.1,nan,3.86,,,,
,,,,,,,,,,
,,,,,,,,,,
opennlp,,,,parquet-mr,,,,santuario-java,,
Releases,Odds ratios (manually validated data),Odds ratios (szz generated data),,Releases,Odds ratios (manually validated data),Odds ratios (szz generated data),,Releases,Odds ratios (manually validated data),Odds ratios (szz generated data)
1.7.0,3.47*,2.46,,1.0.0,9.09,nan,,1.4.5,nan,nan
1.8.0,nan,1.98*,,1.1.0,8.7,nan,,1.5.9,6.99,12.27
,,,,1.2.0,8.49,nan,,2.0.0,9.51,nan
,,,,1.3.0,2.54*,nan,,2.1.0,nan,4.35
,,,,1.4.0,7.88,nan,,,,
,,,,1.5.0,7.77,nan,,,,
,,,,1.6.0,4.41,0.6*,,,,
,,,,1.7.0,7.17,nan,,,,
,,,,1.8.0,7.36,4.91,,,,
,,,,1.9.0,12.8,2.6*,,,,
,,,,,,,,,,
,,,,,,,,,,
systemml,,,,tika,,,,wss4j,,
Releases,Odds ratios (manually validated data),Odds ratios (szz generated data),,Releases,Odds ratios (manually validated data),Odds ratios (szz generated data),,Releases,Odds ratios (manually validated data),Odds ratios (szz generated data)
0.9,6.5,nan,,0.1,1.41*,nan,,1.5.0,4.43*,nan
0.1,7.51,nan,,0.2,2.06*,nan,,1.6.0,11.28,nan
0.11,6.29,nan,,0.3,2.56*,nan,,2.0.0,8.35,3.48
0.12,6.23,nan,,0.4,4.5,0.58*,,2.1.0,4.14,3.21
0.13,7.02,nan,,0.5,2.13*,4.9,,,,
0.14,5.58,nan,,0.6,3.52,4.46,,,,
,,,,0.7,3.63,0.86*,,,,
,,,,0.8,5.11,5.11,,,,
,,,,0.9,3.05,4.73,,,,
,,,,0.1,2.67,4.87,,,,
,,,,1,2.46,3.4,,,,
,,,,1.1,5.01,5.62,,,,
,,,,1.2,4.35,nan,,,,
,,,,1.3,6.07,4.17,,,,
,,,,1.4,7.48,3.27,,,,
,,,,1.5,6.61,3.98,,,,
,,,,1.6,6.08,3.54,,,,
,,,,1.7,3.08,4.45,,,,
,,,,1.8,3.98,4.04,,,,
,,,,1.9,4.4,2.97,,,,
,,,,1.1,6.01,3.45,,,,
,,,,1.11,7.73,3.14,,,,
,,,,1.12,9.62,2.14*,,,,
,,,,1.13,17.04,4.06,,,,
,,,,1.14,12.57,2.72,,,,
,,,,1.15,5.32,2.97,,,,
,,,,1.16,4.21,3.41,,,,
,,,,1.17,5.07,5.6,,,,